wav_filename,wav_filesize,transcript
common_voice_es_22038115.wav,73004,Firefox
common_voice_es_22038113.wav,87596,seis
common_voice_es_22038141.wav,65324,seis
common_voice_es_22038440.wav,142124,seis
common_voice_es_22038143.wav,76076,Firefox
common_voice_es_22038441.wav,103724,Firefox
common_voice_es_22039520.wav,62252,seis
common_voice_es_22040127.wav,91436,seis
common_voice_es_22039521.wav,52268,Hey
common_voice_es_22040135.wav,89900,cinco
common_voice_es_22040268.wav,109100,Firefox
common_voice_es_22040777.wav,66092,Hey
common_voice_es_22040779.wav,70700,Firefox
common_voice_es_22040784.wav,65324,cero
common_voice_es_22040945.wav,223532,Hey
common_voice_es_22040960.wav,146732,ocho
common_voice_es_22040978.wav,82220,seis
common_voice_es_22040984.wav,97580,cero
common_voice_es_22041003.wav,84524,Firefox
common_voice_es_22041012.wav,87596,cinco
common_voice_es_22041596.wav,166700,dos
common_voice_es_22041599.wav,122924,no
common_voice_es_22041606.wav,109100,nueve
common_voice_es_22041826.wav,146732,Firefox
common_voice_es_22041827.wav,88364,seis
common_voice_es_22041828.wav,87596,cinco
common_voice_es_22041857.wav,95276,cero
common_voice_es_22041863.wav,99884,Hey
common_voice_es_22041866.wav,80684,ocho
common_voice_es_22041889.wav,165932,Firefox
common_voice_es_22041891.wav,79148,nueve
common_voice_es_22041892.wav,76844,uno
common_voice_es_22041893.wav,89900,dos
common_voice_es_22042525.wav,104492,siete
common_voice_es_22042526.wav,95276,nueve
common_voice_es_22042529.wav,74540,cero
common_voice_es_22042602.wav,83756,cinco
common_voice_es_22042603.wav,79148,cuatro
common_voice_es_22042604.wav,66092,Firefox
common_voice_es_22042605.wav,66092,uno
common_voice_es_22042607.wav,72236,dos
common_voice_es_22042616.wav,106028,cinco
common_voice_es_22042619.wav,70700,sí
common_voice_es_22042620.wav,65324,no
common_voice_es_22042621.wav,61484,cero
common_voice_es_22042654.wav,66860,ocho
common_voice_es_22042656.wav,71468,seis
common_voice_es_22042659.wav,69932,no
common_voice_es_22042658.wav,70700,Hey
common_voice_es_22043150.wav,88364,Firefox
common_voice_es_22043152.wav,69164,cinco
common_voice_es_22043153.wav,65324,no
common_voice_es_22043156.wav,57644,sí
common_voice_es_22043198.wav,79148,Hey
common_voice_es_22043201.wav,63788,siete
common_voice_es_22043204.wav,59948,nueve
common_voice_es_22043206.wav,69164,seis
common_voice_es_22043207.wav,57644,ocho
common_voice_es_22043214.wav,73004,cero
common_voice_es_22043241.wav,198188,sí
common_voice_es_22043242.wav,67628,ocho
common_voice_es_22043243.wav,76076,siete
common_voice_es_22043244.wav,76844,nueve
common_voice_es_22043245.wav,61484,Hey
common_voice_es_22043251.wav,73772,dos
common_voice_es_22043252.wav,66860,cinco
common_voice_es_22043253.wav,70700,Firefox
common_voice_es_22043255.wav,53036,seis
common_voice_es_22043301.wav,90668,cero
common_voice_es_22043302.wav,75308,no
common_voice_es_22043303.wav,68396,uno
common_voice_es_22043304.wav,71468,cuatro
common_voice_es_22043479.wav,84524,dos
common_voice_es_22043481.wav,57644,uno
common_voice_es_22043482.wav,57644,cuatro
common_voice_es_22046119.wav,73004,seis
common_voice_es_22046121.wav,89132,no
common_voice_es_22046124.wav,58412,sí
common_voice_es_22046125.wav,63020,uno
common_voice_es_22046128.wav,58412,cuatro
common_voice_es_22048164.wav,281900,nueve
common_voice_es_22048165.wav,88364,ocho
common_voice_es_22048166.wav,97580,Firefox
common_voice_es_22048167.wav,92972,tres
common_voice_es_22048168.wav,93740,cero
common_voice_es_22048199.wav,151340,nueve
common_voice_es_22048200.wav,107564,dos
common_voice_es_22048201.wav,109868,no
common_voice_es_22048202.wav,107564,siete
common_voice_es_22048203.wav,106796,cero
common_voice_es_22048213.wav,78380,no
common_voice_es_22048215.wav,68396,seis
common_voice_es_22048216.wav,79148,cuatro
common_voice_es_22048217.wav,88364,Hey
common_voice_es_22048218.wav,77612,sí
common_voice_es_22048247.wav,81452,siete
common_voice_es_22048249.wav,68396,dos
common_voice_es_22048251.wav,74540,cinco
common_voice_es_22048252.wav,76076,uno
common_voice_es_22048943.wav,226604,Firefox
common_voice_es_22048944.wav,108332,ocho
common_voice_es_22048945.wav,92204,no
common_voice_es_22048947.wav,85292,dos
common_voice_es_22049022.wav,73004,Firefox
common_voice_es_22048949.wav,80684,cinco
common_voice_es_22049023.wav,63020,ocho
common_voice_es_22049024.wav,65324,cinco
common_voice_es_22049025.wav,61484,siete
common_voice_es_22049026.wav,49196,no
common_voice_es_22049072.wav,49964,uno
common_voice_es_22049073.wav,63020,tres
common_voice_es_22049075.wav,46892,sí
common_voice_es_22049076.wav,52268,dos
common_voice_es_22049078.wav,52268,cuatro
common_voice_es_22049152.wav,221996,uno
common_voice_es_22049594.wav,230444,nueve
common_voice_es_22049596.wav,60716,Hey
common_voice_es_22049597.wav,60716,dos
common_voice_es_22049598.wav,69932,tres
common_voice_es_22049599.wav,66860,cinco
common_voice_es_22049773.wav,74540,uno
common_voice_es_22049774.wav,80684,cinco
common_voice_es_22049775.wav,71468,cuatro
common_voice_es_22049776.wav,76844,sí
common_voice_es_22049778.wav,74540,Firefox
common_voice_es_22049821.wav,82988,siete
common_voice_es_22049822.wav,57644,dos
common_voice_es_22049823.wav,65324,ocho
