wav_filename,wav_filesize,transcript
common_voice_es_21986371.wav,86060,seis
common_voice_es_21986377.wav,67628,siete
common_voice_es_21986380.wav,93740,cinco
common_voice_es_21986600.wav,59180,cero
common_voice_es_21986602.wav,63788,nueve
common_voice_es_21986604.wav,59948,uno
common_voice_es_21986608.wav,62252,si
common_voice_es_21986633.wav,77612,firefox
common_voice_es_21986638.wav,70700,ocho
common_voice_es_21986639.wav,70700,dos
common_voice_es_21994671.wav,88364,cuatro
common_voice_es_21994672.wav,84524,siete
common_voice_es_21994673.wav,69932,cero
common_voice_es_21994674.wav,78380,cinco
common_voice_es_21994676.wav,71468,si
common_voice_es_21994724.wav,72236,ocho
common_voice_es_21994725.wav,89900,seis
common_voice_es_21994726.wav,72236,tres
common_voice_es_21994727.wav,73004,uno
common_voice_es_21994728.wav,72236,dos
common_voice_es_21944175.wav,133676,nueve
common_voice_es_21944191.wav,82220,tres
common_voice_es_21944192.wav,79148,seis
common_voice_es_21944193.wav,81452,ocho
common_voice_es_21944194.wav,69932,hey
common_voice_es_21944216.wav,101420,no
common_voice_es_21944219.wav,75308,si
common_voice_es_21944221.wav,80684,uno
common_voice_es_21944223.wav,82220,firefox
common_voice_es_21944225.wav,72236,cinco
common_voice_es_21984551.wav,103724,ocho
common_voice_es_21984554.wav,150572,seis
common_voice_es_21984558.wav,111404,cero
common_voice_es_21984560.wav,152876,nueve
common_voice_es_22034999.wav,86060,cinco
common_voice_es_22035004.wav,120620,uno
common_voice_es_22035007.wav,88364,si
common_voice_es_22035010.wav,76076,no
common_voice_es_22035106.wav,86060,dos
common_voice_es_22035110.wav,116012,tres
common_voice_es_22035112.wav,77612,siete
common_voice_es_21999683.wav,77612,hey
common_voice_es_21999684.wav,85292,nueve
common_voice_es_21999700.wav,73772,siete
common_voice_es_21999703.wav,71468,seis
common_voice_es_21999705.wav,90668,tres
common_voice_es_21999709.wav,88364,cinco
common_voice_es_21999711.wav,80684,ocho
common_voice_es_21999748.wav,60716,no
common_voice_es_21999750.wav,76076,si
common_voice_es_21999751.wav,77612,firefox
common_voice_es_21999753.wav,66092,uno
common_voice_es_21983659.wav,98348,uno
common_voice_es_21983660.wav,76076,hey
common_voice_es_21983661.wav,73772,nueve
common_voice_es_21983852.wav,79148,siete
common_voice_es_21983862.wav,64556,seis
common_voice_es_21983881.wav,75308,ocho
common_voice_es_21983885.wav,48428,cinco
common_voice_es_21983888.wav,62252,si
common_voice_es_21983890.wav,53036,cuatro
common_voice_es_21983939.wav,61484,no
common_voice_es_21992005.wav,75308,nueve
common_voice_es_21983941.wav,58412,dos
common_voice_es_21992008.wav,95276,cinco
common_voice_es_21992010.wav,94508,tres
common_voice_es_21992011.wav,88364,uno
common_voice_es_21992069.wav,75308,firefox
common_voice_es_21992073.wav,76844,ocho
common_voice_es_21992075.wav,65324,dos
common_voice_es_21992078.wav,68396,hey
common_voice_es_21992139.wav,65324,seis
common_voice_es_21992140.wav,56108,no
common_voice_es_21992141.wav,73772,cero
common_voice_es_21977514.wav,113708,siete
common_voice_es_21977516.wav,74540,dos
common_voice_es_21977522.wav,115244,ocho
common_voice_es_21977524.wav,119084,tres
common_voice_es_21977690.wav,88364,cuatro
common_voice_es_21977697.wav,72236,no
common_voice_es_21977700.wav,73004,nueve
common_voice_es_21977755.wav,87596,uno
common_voice_es_21977757.wav,79916,seis
common_voice_es_21977761.wav,66860,si
common_voice_es_21977763.wav,86828,firefox
